year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1991,part-time,construction,construction,construction,17.8,17.4,0.3
1991,full-time,services,wholesale and retail trade,wholesale trade,44.2,42.3,1.8
1991,part-time,services,wholesale and retail trade,wholesale trade,21.1,20.9,0.2
1991,full-time,services,wholesale and retail trade,retail trade,45.8,43.2,2.6
1991,part-time,services,wholesale and retail trade,retail trade,24.4,24,0.4
1991,full-time,services,hotels and restaurants,hotels,45,43.5,1.5
1991,part-time,services,hotels and restaurants,hotels,22.9,22.7,0.1
1991,full-time,services,hotels and restaurants,restaurants,45.6,44.5,1.1
1991,part-time,services,hotels and restaurants,restaurants,21.1,20.8,0.3
1991,full-time,services,"transport, storage and communications","transport, storage and communications",47.7,43.2,4.6
1991,part-time,services,"transport, storage and communications","transport, storage and communications",27.7,26.3,1.4
1991,full-time,services,financial intermediation,financial institutions,44,42.7,1.3
1991,part-time,services,financial intermediation,financial institutions,21.5,21.1,0.3
1991,full-time,services,financial intermediation,insurance and pension funding,40.8,39.7,1.1
1991,part-time,services,financial intermediation,insurance and pension funding,20.8,20.6,0.1
1991,full-time,services,business and real estate services,business and real estate services,45.7,42.6,3.2
1991,part-time,services,business and real estate services,business and real estate services,27,25.9,1.1
1991,full-time,services,"community, social and personal services","community, social and personal services",42.7,41.6,1.2
1991,part-time,services,"community, social and personal services","community, social and personal services",23.2,22.9,0.3
1991,full-time,others,others,others,47.9,44.2,3.7
1991,part-time,others,others,others,22.9,22.6,0.3
1992,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.7,43.4,4.3
1992,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",22.8,22.6,0.2
1992,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,50.3,44,6.3
1992,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.3,22.1,0.2
1992,full-time,manufacturing,paper products and publishing,paper products and publishing,49.4,42.7,6.7
1992,part-time,manufacturing,paper products and publishing,paper products and publishing,24.5,23.1,1.3
1992,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.4,43,5.4
1992,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,24.2,23.1,1.1
1992,full-time,manufacturing,rubber and plastic products,rubber and plastic products,50,43.6,6.5
1992,part-time,manufacturing,rubber and plastic products,rubber and plastic products,23.7,22.7,1
1992,full-time,manufacturing,fabricated metal products,fabricated metal products,51.2,43.6,7.7
1992,part-time,manufacturing,fabricated metal products,fabricated metal products,21.5,20.8,0.6
1992,full-time,manufacturing,machinery and equipment,machinery and equipment,50.6,43.5,7.1
1992,part-time,manufacturing,machinery and equipment,machinery and equipment,22.9,22.6,0.3
1992,full-time,manufacturing,electrical products,electrical products,48.4,43.5,4.9
1992,part-time,manufacturing,electrical products,electrical products,27.3,26.1,1.2
1992,full-time,manufacturing,electronic products,electronic products,47.4,42.2,5.2
1992,part-time,manufacturing,electronic products,electronic products,22,21.3,0.7
1992,full-time,manufacturing,medical and precision instruments,medical and precision instruments,48.1,44,4.2
1992,part-time,manufacturing,medical and precision instruments,medical and precision instruments,22.2,21.4,0.8
1992,full-time,manufacturing,transport equipment,transport equipment,52.8,44,8.8
1992,part-time,manufacturing,transport equipment,transport equipment,26.5,24,2.4
1992,full-time,manufacturing,other manufacturing industries,other manufacturing industries,50,43.8,6.2
1992,part-time,manufacturing,other manufacturing industries,other manufacturing industries,22.9,22.9,-
1992,full-time,construction,construction,construction,50.2,44.8,5.4
1992,part-time,construction,construction,construction,19.5,18.4,1.1
1992,full-time,services,wholesale and retail trade,wholesale trade,44.2,42.3,1.8
1992,part-time,services,wholesale and retail trade,wholesale trade,23.4,23.2,0.2
1992,full-time,services,wholesale and retail trade,retail trade,45.8,43.3,2.6
1992,part-time,services,wholesale and retail trade,retail trade,24.6,24.3,0.3
1992,full-time,services,hotels and restaurants,hotels,45.4,43.8,1.6
1992,part-time,services,hotels and restaurants,hotels,25.2,24.4,0.7
1992,full-time,services,hotels and restaurants,restaurants,45.8,44.6,1.2
1992,part-time,services,hotels and restaurants,restaurants,21,20.7,0.3
1992,full-time,services,"transport, storage and communications","transport, storage and communications",47.3,43.4,3.9
1992,part-time,services,"transport, storage and communications","transport, storage and communications",26.4,25.5,1
1992,full-time,services,financial intermediation,financial institutions,43.9,42.7,1.3
1992,part-time,services,financial intermediation,financial institutions,21.6,21.3,0.4
1992,full-time,services,financial intermediation,insurance and pension funding,40.8,39.7,1.1
1992,part-time,services,financial intermediation,insurance and pension funding,18.6,18.6,-
1992,full-time,services,business and real estate services,business and real estate services,45.5,42.7,2.9
1992,part-time,services,business and real estate services,business and real estate services,26.7,26,0.7
1992,full-time,services,"community, social and personal services","community, social and personal services",42.7,41.5,1.2
1992,part-time,services,"community, social and personal services","community, social and personal services",19.7,19.6,0.1
1992,full-time,others,others,others,46.9,44,2.9
1992,part-time,others,others,others,23.7,23.7,-
1993,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.6,43.4,4.2
1993,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",23,22.5,0.5
1993,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,49.7,43.9,5.8
1993,part-time,manufacturing,textile and wearing apparel,textile and wearing apparel,22.3,22.1,0.2
1993,full-time,manufacturing,paper products and publishing,paper products and publishing,49.3,42.6,6.7
1993,part-time,manufacturing,paper products and publishing,paper products and publishing,22.3,22.2,0.1
1993,full-time,manufacturing,petroleum and chemical products,petroleum and chemical products,48.5,42.9,5.5
1993,part-time,manufacturing,petroleum and chemical products,petroleum and chemical products,24.7,23.3,1.4
1993,full-time,manufacturing,rubber and plastic products,rubber and plastic products,50.9,43.7,7.2
1993,part-time,manufacturing,rubber and plastic products,rubber and plastic products,24.2,22.9,1.4
1993,full-time,manufacturing,fabricated metal products,fabricated metal products,50.9,43.5,7.4
1993,part-time,manufacturing,fabricated metal products,fabricated metal products,21.5,20.8,0.6
1993,full-time,manufacturing,machinery and equipment,machinery and equipment,50.2,43.5,6.7
1993,part-time,manufacturing,machinery and equipment,machinery and equipment,21.9,21.8,0.1
1993,full-time,manufacturing,electrical products,electrical products,49.3,43.6,5.7
1993,part-time,manufacturing,electrical products,electrical products,26.4,25.7,0.7
1993,full-time,manufacturing,electronic products,electronic products,47.8,42.4,5.5
1993,part-time,manufacturing,electronic products,electronic products,21.4,20.4,1.1
